birdsEUPopulation(Dataset1);;;;;;;;
speciescode;speciesname;keywintering;distribution_surface_area;population_minimum_size;population_maximum_size;CRd_list_cat;red_list_cat_prev;taxFamily_en
A349;Corvus corone;N;3700000;5220000;8030000;LC;LC;Crows and jays
A350;Corvus corax;N;3040000;291000;554000;LC;LC;Crows and jays
A351;Sturnus vulgaris;N;3050000;18200000;31900000;LC;LC;Starlings
A352;Sturnus unicolor;N;487000;23800000;30700000;LC;LC;Starlings
A355;Passer hispaniolensis;N;398000;2330000;6570000;LC;LC;Sparrows, snowfinches and allies
A356;Passer montanus;N;2770000;11600000;18100000;LC;LC;Sparrows, snowfinches and allies
A357;Petronia petronia;N;400000;1330000;2180000;LC;LC;Sparrows, snowfinches and allies
A358;Montifringilla nivalis;N;85700;15900;28900;LC;LC;Sparrows, snowfinches and allies
A359;Fringilla coelebs;N;-1;82300000;121000000;LC;LC;Finches
A360;Fringilla montifringilla;N;457000;2330000;4480000;LC;VU;Finches
A361;Serinus serinus;N;1990000;16700000;25300000;LC;LC;Finches
A363;Chloris chloris;N;3640000;15900000;22200000;LC;LC;Finches
A364;Carduelis carduelis;N;3280000;23300000;33600000;LC;LC;Finches
A369;Loxia curvirostra;N;1530000;889000;2910000;LC;LC;Finches
A370;Loxia pytyopsittacus;N;545000;105000;254000;LC;LC;Finches
A371;Carpodacus erythrinus;N;618000;368000;587000;NT;VU;Finches
A372;Pyrrhula pyrrhula;N;2130000;2250000;3990000;LC;LC;Finches
A373;Coccothraustes coccothraustes;N;1910000;2150000;3720000;LC;LC;Finches
A374;Calcarius lapponicus;N;88300;163000;358000;VU;NT;Buntings
A375;Plectrophenax nivalis;N;47800;19000;43100;LC;LC;Buntings
A376;Emberiza citrinella;N;2590000;12700000;17600000;LC;LC;Buntings
A377;Emberiza cirlus;N;1120000;2340000;4280000;LC;LC;Buntings
A378;Emberiza cia;N;494000;1570000;2890000;LC;LC;Buntings
A379;Emberiza hortulana;N;671000;659000;1430000;NT;LC;Buntings
A380;Emberiza pusilla;N;40600;12600;33200;LC;LC;Buntings
A381;Emberiza schoeniclus;N;2030000;1730000;2760000;LC;LC;Buntings
A382;Emberiza melanocephala;N;355000;219000;543000;LC;LC;Buntings
A383;Emberiza calandra;N;1600000;14800000;20800000;LC;LC;Buntings
A385;Pterodroma madeira;N;200;60;80;EN;EN;Petrels and shearwaters
A387;Bulweria bulwerii;N;3800;46000;51100;LC;LC;Petrels and shearwaters
A389;Pelagodroma marina;N;300;77800;111000;EN;EN;Northern storm-petrels
A392;Phalacrocorax aristotelis desmarestii;N;71800;7400;9200;LC;LC;Cormorants
A394;Anser albifrons albifrons;Y;-1;1550000;2330000;LC;EN;Ducks, geese and swans
A395;Anser albifrons flavirostris;Y;-1;20400;20500;VU;VU;Ducks, geese and swans
A396;Branta ruficollis;Y;-1;11800;71800;VU;NT;Ducks, geese and swans
A397;Tadorna ferruginea;N;16800;210;340;NT;NT;Ducks, geese and swans
A399;Elanus caeruleus;N;71100;1300;2800;LC;LC;Hawks and eagles
A400;Accipiter gentilis arrigonii;N;9900;140;170;VU;VU;Hawks and eagles
A401;Accipiter nisus granti;N;5700;500;900;NT;NT;Hawks and eagles
A402;Accipiter brevipes;N;156000;1700;3400;LC;LC;Hawks and eagles
A403;Buteo rufinus;N;137000;1100;2100;LC;LC;Hawks and eagles
A404;Aquila heliaca;N;30300;270;380;NT;NT;Hawks and eagles
A405;Aquila adalberti;N;44400;530;540;VU;VU;Hawks and eagles
A411;Alectoris chukar;N;103000;260000;374000;LC;LC;Pheasants, partridges and grouse
A413;Alectoris graeca whitakeri;N;13500;1500;1500;LC;EN;Pheasants, partridges and grouse
A414;Perdix perdix italica;N;-1;0;0;EX;EX;Pheasants, partridges and grouse
A415;Perdix perdix hispaniensis;N;15200;5200;22300;NT;NT;Pheasants, partridges and grouse
A416;Chlamydotis undulata;N;1800;610;620;VU;NT;Bustards
A419;Uria aalge ibericus;N;200;0;7;CR;CR;Auks
A420;Pterocles orientalis;N;31000;1700;4200;EN;EN;Sandgrouse
A421;Columba palumbus azorica;N;7300;42100;137000;LC;CR;Pigeons and doves
A422;Columba bollii;N;2100;2500;10000;LC;LC;Pigeons and doves
