speciescode;speciesname;keywintering;distribution_surface_area;population_minimum_size;population_maximum_size;red_list_cat;conclusion_status_label;red_list_cat_prev;conclusion_status_label_prev;taxFamily_en;country;nationally_hunted;Risk_Country
A059;Aythya ferina;N;383000;46100.0;71400.0;VU;Threatened;VU;Threatened;Ducks, geese and swans;Slovenia;No;Considerable
A059;Aythya ferina;N;383000;46100.0;71400.0;VU;Threatened;VU;Threatened;Ducks, geese and swans;Slovenia;No;Considerable
A059;Aythya ferina;N;383000;46100.0;71400.0;VU;Threatened;VU;Threatened;Ducks, geese and swans;Austria;Yes;Considerable
A059;Aythya ferina;N;383000;46100.0;71400.0;VU;Threatened;VU;Threatened;Ducks, geese and swans;Belgium;No;Alarming
A059;Aythya ferina;N;383000;46100.0;71400.0;VU;Threatened;VU;Threatened;Ducks, geese and swans;Belgium;No;Alarming
A059;Aythya ferina;N;383000;46100.0;71400.0;VU;Threatened;VU;Threatened;Ducks, geese and swans;Malta;Yes;Few
A059;Aythya ferina;N;383000;46100.0;71400.0;VU;Threatened;VU;Threatened;Ducks, geese and swans;Netherlands;No;High
A059;Aythya ferina;N;383000;46100.0;71400.0;VU;Threatened;VU;Threatened;Ducks, geese and swans;Netherlands;No;High
A059;Aythya ferina;N;383000;46100.0;71400.0;VU;Threatened;VU;Threatened;Ducks, geese and swans;Portugal;Yes;Considerable
A059;Aythya ferina;N;383000;46100.0;71400.0;VU;Threatened;VU;Threatened;Ducks, geese and swans;Sweden;No;Alarming
A059;Aythya ferina;N;383000;46100.0;71400.0;VU;Threatened;VU;Threatened;Ducks, geese and swans;Sweden;No;Alarming
A059;Aythya ferina;N;383000;46100.0;71400.0;VU;Threatened;VU;Threatened;Ducks, geese and swans;Ireland;Yes;High
A059;Aythya ferina;N;383000;46100.0;71400.0;VU;Threatened;VU;Threatened;Ducks, geese and swans;Italy;Yes;Considerable
A059;Aythya ferina;N;383000;46100.0;71400.0;VU;Threatened;VU;Threatened;Ducks, geese and swans;Lithuania;Yes;Considerable
A059;Aythya ferina;N;383000;46100.0;71400.0;VU;Threatened;VU;Threatened;Ducks, geese and swans;Luxembourg;No;Considerable
A059;Aythya ferina;N;383000;46100.0;71400.0;VU;Threatened;VU;Threatened;Ducks, geese and swans;Luxembourg;No;Considerable
A059;Aythya ferina;N;383000;46100.0;71400.0;VU;Threatened;VU;Threatened;Ducks, geese and swans;Latvia;Yes;High
A061;Aythya fuligula;N;1260000;166000.0;288000.0;VU;Threatened;LC;Secure;Ducks, geese and swans;Greece;Yes;Considerable
A061;Aythya fuligula;N;1260000;166000.0;288000.0;VU;Threatened;LC;Secure;Ducks, geese and swans;Finland;Yes;High
A061;Aythya fuligula;N;1260000;166000.0;288000.0;VU;Threatened;LC;Secure;Ducks, geese and swans;France;Yes;High
A061;Aythya fuligula;N;1260000;166000.0;288000.0;VU;Threatened;LC;Secure;Ducks, geese and swans;Croatia;Yes;High
A061;Aythya fuligula;N;1260000;166000.0;288000.0;VU;Threatened;LC;Secure;Ducks, geese and swans;Croatia;Yes;High
